No.,text,Valence_Mean,Arousal_Mean,Valence_SD,Arousal_SD
0,怪八卦,3.45,4.383,0.423,0.579
1,更加小心,5.111,7.188,0.875,0.242
2,格外小心,3.95,6.5,0.527,0.381
3,特别小心,5.0,7.0,0.5,0.0
4,极为小心,3.989,6.925,0.694,0.319
5,万分小心,4.6,7.5,1.158,0.433
6,怪小偷,2.9,5.1,1.114,0.1
7,更为不利,2.375,6.389,0.415,0.515
8,相当不利,2.5,6.444,0.5,0.497
9,最为不利,2.5,6.643,0.866,0.639
10,极其不利,2.867,6.275,0.735,0.303
11,极为不利,2.275,7.088,0.327,0.314
12,略不足,4.244,3.478,0.365,0.452
13,略微不足,4.711,3.657,0.185,0.699
14,稍不足,4.211,4.438,0.238,0.464
15,极度不足,2.756,4.788,0.709,0.664
16,较不足,4.0,4.375,0.0,0.484
17,较为不足,3.438,4.12,0.4,0.936
18,稍微不足,4.522,4.233,0.215,0.542
19,相当不便,2.9,5.375,0.831,0.484
20,极为不便,2.875,5.833,0.238,0.39
21,较为不便,4.375,5.078,0.396,0.503
22,完全不符,2.4,5.286,0.49,0.452
23,十分不满,2.256,7.444,0.241,0.398
24,尤其不满,2.167,7.422,0.211,0.466
25,相当不满,2.111,7.0,0.737,0.0
26,最为不满,2.45,7.138,0.436,0.239
27,越发不满,2.86,6.95,0.196,0.087
28,极其不满,1.933,7.389,0.485,0.348
29,极度不满,2.256,7.422,0.546,0.96
30,极为不满,2.388,7.489,0.389,1.014
31,极度不适,2.433,6.0,0.535,1.418
32,稍微分享,6.167,4.322,0.371,0.565
33,极度反感,1.389,7.889,0.515,0.774
34,完全支持,8.111,6.722,0.567,0.749
35,特别支持,7.55,6.722,0.415,0.498
36,较为支持,7.8,4.85,0.459,0.942
37,较支持,6.667,5.356,0.685,0.615
38,相当出色,8.0,6.389,0.408,0.614
39,最为出色,8.056,6.288,0.593,0.352
40,极为出色,8.125,6.314,0.179,0.247
41,比较可怕,3.113,6.722,0.196,0.583
42,好可怕,3.0,7.0,0.0,0.0
43,有点可怕,3.333,6.375,0.471,0.484
44,更可怕,3.0,7.0,0.0,0.0
45,更为可怕,2.47,7.188,0.478,0.242
46,很可怕,2.5,7.0,0.5,0.0
47,挺可怕,2.59,7.378,0.291,0.239
48,最可怕,2.0,7.5,0.894,0.5
49,最为可怕,2.49,6.717,0.455,1.12
50,还可怕,2.75,7.188,0.433,0.496
51,蛮可怕,3.1,6.778,0.224,0.598
52,挺可悲,2.65,6.125,0.923,0.65
53,蛮可悲,2.375,6.813,0.65,0.658
54,十分可爱,7.678,7.143,0.524,0.226
55,太可爱,8.0,7.0,0.0,0.0
56,比较可爱,6.944,6.0,0.762,0.667
57,好可爱,8.0,7.0,0.0,0.0
58,怪可爱,6.95,6.45,0.897,0.529
59,非常可爱,8.0,7.313,0.0,0.348
60,挺可爱,7.422,6.278,0.503,0.447
61,超可爱,8.0,7.556,0.0,0.497
62,蛮可爱,7.571,6.563,0.495,0.634
63,超级可爱,8.2,7.267,0.386,0.462
64,好可怜,3.0,6.0,0.0,0.0
65,有点可怜,4.063,4.556,0.3,0.55
66,怪可怜,2.678,5.4,0.612,0.68
67,很可怜,2.556,6.0,0.497,0.0
68,挺可怜,2.844,6.075,0.279,0.171
69,超可怜,2.56,6.413,0.395,0.655
70,完全失控,2.0,8.0,1.225,0.745
71,有点失望,2.9,5.625,0.831,0.484
72,非常失望,2.0,7.0,0.0,0.0
73,相当失望,2.0,7.0,0.0,0.0
74,略失望,3.833,5.313,0.471,0.496
75,略微失望,2.313,5.87,0.318,0.651
76,极度失望,1.63,7.244,0.424,0.347
77,极为失望,1.733,7.214,0.469,0.647
78,异常平静,7.589,1.857,0.311,1.33
79,稍微打,3.588,6.556,0.376,0.56
80,完全打击,2.875,7.438,0.599,0.39
81,比较正,6.5,5.571,0.5,0.495
82,很正,7.0,6.0,0.0,0.0
83,挺正,6.611,5.778,0.458,0.583
84,最正,7.4,6.0,0.49,0.0
85,超正,7.556,6.667,0.497,0.471
86,超级正,7.967,6.8,0.231,0.931
87,越正,7.0,6.0,0.433,0.75
88,蛮正,7.31,6.257,0.33,0.518
89,极为正面,7.478,5.133,0.391,0.415
90,稍用力,5.125,5.875,0.331,0.65
91,稍稍用力,4.813,5.688,0.348,0.556
92,稍微用力,5.613,7.057,0.33,0.609
93,愈用力,4.85,7.625,0.328,0.307
94,老白痴,2.413,7.0,0.401,0.843
95,老白痴,1.571,7.917,0.495,0.186
96,超丢脸,1.813,7.313,0.788,0.609
97,超级丢脸,2.088,6.811,0.322,0.832
98,太凶,2.556,8.0,0.497,0.0
99,越凶,3.0,7.713,0.233,0.392
100,愈凶,2.667,7.667,0.408,0.527
101,完全同意,7.444,5.333,0.497,0.471
102,十分好,7.833,6.667,0.408,0.624
103,太好,8.1,6.625,0.831,0.484
104,尤其好,7.9,6.3,0.328,0.589
105,比较好,6.667,5.333,0.471,0.667
106,完全好,7.625,6.333,0.415,0.527
