No.,text,Valence_Mean,Arousal_Mean,Valence_SD,Arousal_SD
0,不可思议,5.4,7.2,1.02,1.327
1,不平,3.6,5.8,0.49,0.98
2,不甘,3.2,6.4,0.4,0.8
3,不安,3.8,5.4,0.4,0.49
4,不利,3.6,5.6,0.49,0.8
5,不足,4.2,4.2,0.4,1.166
6,不定,4.2,3.8,0.4,0.98
7,不宜,3.8,4.4,0.748,1.356
8,不幸,2.6,6.0,0.49,1.549
9,不拘小节,6.4,4.2,0.49,1.72
10,不服,3.4,6.6,0.49,0.49
11,不知所措,3.2,6.2,0.748,1.327
12,不便,4.0,4.4,0.0,1.497
13,不耐,4.0,4.4,0.0,1.625
14,不耐烦,3.6,6.0,0.8,1.095
15,不准,3.6,6.2,0.49,0.98
16,不屑,3.0,6.0,0.632,1.265
17,不悦,3.2,6.0,1.166,1.265
18,不爽,2.8,7.2,1.166,0.4
19,不祥,2.8,5.2,0.4,1.166
20,不符,3.8,4.0,0.4,1.789
21,不顺,3.6,4.6,0.49,1.02
22,不当,3.4,5.6,0.8,1.2
23,不解,4.2,4.2,0.4,1.47
24,不满,3.2,6.4,0.748,0.8
25,不适,3.6,4.6,0.49,1.356
26,正,6.6,5.0,0.49,1.673
27,多余,4.0,4.0,0.0,1.549
28,好,6.8,5.2,0.4,0.4
29,否定,3.4,5.4,0.49,1.356
30,否认,3.6,5.2,0.49,1.166
31,足够,5.8,4.0,0.4,1.265
32,肯定,6.8,6.0,0.748,0.632
33,哇,6.0,6.6,0.894,0.49
34,哎呀,4.8,6.8,0.4,0.4
35,恰好,6.4,5.0,0.49,0.632
36,耶,7.2,7.2,1.166,1.166
37,单独,4.4,3.6,0.8,1.2
38,无力,3.2,3.6,0.748,1.96
39,无足轻重,4.4,4.0,0.49,1.414
40,无情,2.6,5.8,1.02,2.4
41,无理,2.6,6.8,1.02,1.166
42,无暇,3.6,5.6,1.356,1.2
43,无趣,3.4,5.2,0.8,0.98
44,无礼,2.8,7.0,0.98,1.095
45,想,5.2,3.6,0.4,1.497
46,过分,2.8,6.8,0.748,0.4
47,对,6.4,4.8,0.49,1.327
48,认真,7.0,5.0,0.632,1.265
49,嘻,6.6,5.8,0.8,0.98
50,嘻嘻,7.0,6.2,1.095,0.748
51,随便,4.2,5.2,0.98,0.4
52,随意,5.6,4.2,0.49,0.98
53,丰富,6.8,5.6,0.748,1.02
54,愿意,6.8,5.0,0.748,1.414
55,小心,4.6,6.0,1.02,0.894
56,分享,6.8,4.6,0.748,1.02
57,支持,7.2,5.0,0.4,1.789
58,支撑,5.6,5.6,1.02,1.855
59,付出,5.8,5.6,0.98,1.356
60,失去,3.2,6.4,0.4,1.356
61,失败,2.2,7.2,1.166,1.166
62,打,3.2,6.6,0.748,0.8
63,同意,6.4,4.4,0.49,1.2
64,成功,8.2,6.6,0.748,0.49
65,死,1.2,5.0,0.4,3.033
66,吸引,6.0,6.2,0.632,1.327
67,希望,7.0,5.2,0.632,1.72
68,忘记,4.0,4.6,0.632,0.49
69,协助,6.6,4.6,0.49,1.02
70,抱,5.8,5.2,0.748,1.6
71,玩,5.6,5.8,1.497,0.98
72,信任,7.8,5.8,0.748,1.47
73,相信,7.2,5.4,0.98,1.356
74,讨厌,2.6,6.6,0.49,0.49
75,贡献,7.4,5.6,1.02,1.02
76,逃避,3.0,6.0,0.0,0.632
77,喜爱,7.2,6.2,0.4,0.98
78,喜欢,7.0,5.8,0.632,0.98
79,丧失,2.6,5.8,0.49,1.6
80,期望,6.0,5.2,0.0,1.166
81,答应,5.8,5.0,0.748,1.897
82,干,1.0,8.8,0.0,0.4
83,爱,8.2,5.4,0.748,2.939
84,爱好,7.0,5.6,0.0,1.2
85,感谢,7.4,5.6,0.49,1.744
86,损失,3.2,5.2,0.4,0.4
87,经历,5.0,4.8,0.0,0.98
88,遇到,5.0,4.2,0.0,0.98
89,游戏,5.8,4.8,1.166,1.72
90,鼓励,7.0,6.2,0.0,0.748
91,适合,5.6,3.8,1.02,1.47
92,担心,3.4,6.6,0.49,0.8
93,输,3.0,4.4,0.894,1.2
94,错过,3.6,4.4,0.49,0.8
95,帮忙,6.4,5.0,0.49,1.095
96,帮助,6.6,5.6,0.49,1.02
97,应付,4.2,5.4,0.4,1.625
98,谢谢,6.6,5.8,0.8,0.748
99,怀念,6.0,5.6,0.632,1.356
100,关心,6.4,6.0,0.49,0.894
101,关怀,6.8,6.4,0.4,1.2
102,赢,7.2,7.0,0.98,1.265
